"Parlamentar","Data Desbloqueio","Ano de Exercicio","Unidade Orcamentaria Cod","Unidade Orcamentaria Desc","SubTítulo","Código da Emenda","Nota Dotação","Ds Observação","Código Unidade Gestora","Código Programa Trabalho","Código Natureza Despesa","Vl Solicitado"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-SE-DISTRITO FEDERAL                                                                                                                                                                              ","11169","271 ","","160101","12 .122.6221.2387.0024","335043","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-ESCOLA CLASSE 15- GAMA                                                                                                                                                                           ","4047","271 ","","160101","12 .122.6221.2387.0032","335043","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","CONSTRUÇÃO DE QUADRAS DE ESPORTES-CONSTRUÇÃO DE QUADRA POLIESPORTIVA NA ESCOLA CLASSE 15 DO GAMA-REGIÃO II - GAMA","227","271 ","","160101","12 .361.6221.1745.0003","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","CONSTRUÇÃO DE QUADRAS DE ESPORTES-CONSTRUÇÃO DE QUADRA POLIESPORTIVA NO CENTRO EDUCACIONAL ÁGUAS CLARAS - AREAL-REGIÃO XX - ÁGUAS CLARAS","226","271 ","","160101","12 .361.6221.1745.0004","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE ENSINO FUNDAMENTAL-PDAF - UNIDADES ESCOLARES DE PLANALTINA- PLANALTINA                                                                                                                                                             ","2002","271 ","","160101","12 .361.6221.3236.0014","335043","4000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE ENSINO FUNDAMENTAL-REFORMA DA ESCOLA CLASSE AGROVILLA II NO EPTG-CAUB II- RIACHO FUNDO II                                                                                                                                          ","3001","271 ","","160101","12 .361.6221.3236.0015","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE ENSINO FUNDAMENTAL-PDAF - UNIDADE ESCOLAR CEM 01- GAMA                                                                                                                                                                             ","6004","271 ","","160101","12 .361.6221.3236.0016","335043","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","TRANSPORTE DE ALUNOS-TRANSPORTE DE ALUNO PARA O PARQUE NACIONAL PARA A PRESERVAÇÃO DO MEIO AMBIENTE-DISTRITO FEDERAL                                                                                                                                      ","99169","271 ","","160101","12 .361.6221.4976.0003","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59104","ADMINISTRAÇÃO REGIONAL DO GAMA - RA II            ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017-REGIÃO II - GAMA- GAMA                                                                                                                                        ","214","271 ","","190104","15 .451.6210.1110.0086","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59105","ADMINISTRAÇÃO REGIONAL DE TAGUATINGA - RA III     ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- E INFRAESTRUTURA EM 2017- TAGUATINGA                                                                                                                                                                                    ","221","271 ","","190105","15 .451.6210.1110.0091","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59106","ADMINISTRAÇÃO REGIONAL DE BRAZLÂNDIA - RA IV      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- BRAZLÂNDIA                                                                                                                                                    ","217","271 ","","190106","15 .451.6210.1110.0095","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59107","ADMINISTRAÇÃO REGIONAL DE SOBRADINHO - RA V       ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- SOBRADINHO                                                                                                                                                    ","212","271 ","","190107","15 .451.6210.1110.0097","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","APOIO A EVENTOS-CULTURAIS EM 2017-- PLANALTINA                                                                                                                                                                                                            ","224","271 ","","190108","13 .392.6219.4090.0012","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- PLANALTINA                                                                                                                                                    ","209","271 ","","190108","15 .451.6210.1110.0101","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","APOIO A EVENTOS-ESPORTIVOS EM 2017- PLANALTINA                                                                                                                                                                                                            ","223","271 ","","190108","27 .812.6206.4090.0011","339030","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","APOIO A EVENTOS-ESPORTIVOS EM 2017- PLANALTINA                                                                                                                                                                                                            ","223","271 ","","190108","27 .812.6206.4090.0011","339031","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","APOIO A EVENTOS-ESPORTIVOS EM 2017- PLANALTINA                                                                                                                                                                                                            ","223","271 ","","190108","27 .812.6206.4090.0011","339032","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","APOIO A EVENTOS-ESPORTIVOS EM 2017- PLANALTINA                                                                                                                                                                                                            ","223","271 ","","190108","27 .812.6206.4090.0011","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59109","ADMINISTRAÇÃO REGIONAL DO PARANOÁ - RA VII        ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- PARANOÁ                                                                                                                                                       ","222","271 ","","190109","15 .451.6210.1110.0105","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59110","ADMINISTRAÇÃO REGIONAL DO NÚCLEO BANDEIRANTE - RA ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- NÚCLEO BANDEIRANTE                                                                                                                                            ","216","271 ","","190110","15 .451.6210.1110.0107","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59111","ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA - RA IX       ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- CEILÂNDIA                                                                                                                                                     ","218","271 ","","190111","15 .451.6210.1110.0118","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59113","ADMINISTRAÇÃO REGIONAL DO CRUZEIRO - RA XI        ","FORTALECIMENTO DAS AÇÕES DE APOIO AO INTERNO E SUA FAMÍLIA-- CRUZEIRO                                                                                                                                                                                     ","6002","271 ","","190113","04 .421.6211.2426.0008","339139","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59113","ADMINISTRAÇÃO REGIONAL DO CRUZEIRO - RA XI        ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA NO CRUZEIRO- CRUZEIRO                                                                                                                                                  ","6001","271 ","","190113","15 .451.6210.1110.0170","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59113","ADMINISTRAÇÃO REGIONAL DO CRUZEIRO - RA XI        ","APOIO A EVENTOS-APOIO A EVENTOS ESPORTIVOS NO CRUZEIRO- CRUZEIRO                                                                                                                                                                                          ","6003","271 ","","190113","27 .812.6206.4090.0083","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59115","ADMINISTRAÇÃO REGIONAL DE SANTA MARIA - XIII      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- SANTA MARIA                                                                                                                                                   ","215","271 ","","190115","15 .451.6210.1110.0015","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59116","ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO - RA XIV  ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- SÃO SEBASTIÃO                                                                                                                                                 ","206","271 ","","190116","15 .451.6210.1110.0018","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59117","ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS - RA XV","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- RECANTO DAS EMAS                                                                                                                                              ","207","271 ","","190117","15 .451.6210.1110.0022","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- RIACHO FUNDO II                                                                                                                                               ","208","271 ","","190123","15 .451.6210.1110.0033","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59125","ADMINISTRAÇÃO REGIONAL DO VARJÃO - RA XXIII       ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- VARJÃO                                                                                                                                                        ","220","271 ","","190125","15 .451.6210.1110.0037","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59127","ADMINISTRAÇÃO REGIONAL DO SETOR COMPLEMENTAR DE IN","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE URBANIZAÇÃO NA ESTRUTURAL- SETOR COMPL. DE IND. E ABASTECIMENTO                                                                                                                                   ","10169","271 ","","190127","15 .451.6210.1110.0030","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59127","ADMINISTRAÇÃO REGIONAL DO SETOR COMPLEMENTAR DE IN","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- SETOR COMPL. DE IND. E ABASTECIMENTO                                                                                                                          ","219","271 ","","190127","15 .451.6210.1110.0042","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59128","ADMINISTRAÇÃO REGIONAL DE SOBRADINHO II - RA XXVI ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017-  SOBRADINHO II                                                                                                                                                ","213","271 ","","190128","15 .451.6210.1110.0045","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","59130","ADMINISTRAÇÃO REGIONAL DO ITAPOÃ - RA XXVIII      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM 2017- ITAPOÃ                                                                                                                                                        ","211","271 ","","190130","15 .451.6210.1110.0051","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-NO-DISTRITO FEDERAL                                                                                                                                                                                                      ","1169","271 ","","190201","15 .451.6210.1110.0135","449051","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO A EVENTOS CULTURAIS EM TODO DF - 2017-DISTRITO FEDERAL","228","271 ","","230101","13 .392.6219.4090.0021","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","34101","SECRETARIA DE ESTADO DE ESPORTE, TURISMO E LAZER D","APOIO A EVENTOS- ESPORTIVOS EM TODO DF - 2017-DISTRITO FEDERAL                                                                                                                                                                                            ","225","271 ","","340101","27 .812.6206.4090.0005","339039","2000000"
"AGACIEL MAIA","2017/02/22 00:00:00","2017","51101","SECRETARIA DE ESTADO DE POLÍTICAS PARA CRIANÇAS, A","ASSISTÊNCIA AO JOVEM-ASSISTÊNCIA AO JOVEM CANDANGO NO DF-DISTRITO FEDERAL","210","271 ","","510101","14 .243.6228.2794.0003","339039","2000000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","21101","SECRETARIA DE ESTADO DO MEIO AMBIENTE             ","IMPLANTAÇÃO DO PARQUE VIVENCIAL DO SETOR NORTE-IMPLANTAÇÃO DO PARQUE URBANO E VIVENCIAL DO GAMA - SETOR NORTE DO GAMA-REGIÃO II - GAMA","406","734 ","","150101","27 .813.6210.3637.0001","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE ENSINO FUNDAMENTAL-CONSTRUÇÃO E RECONSTRUÇÃO DOS MUROS DAS ESCOLAS DE ENSINO FUNDAMENTAL DO DISTRITO FEDERAL-DISTRITO FEDERAL","405","734 ","","160101","12 .361.6221.3236.0012","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE EDUCAÇÃO INFANTIL-CONSTRUÇÃO E RECONSTRUÇÃO DE MUROS DAS ESCOLAS DE ENSINO INFANTIL DO DISTRITO FEDERAL-DISTRITO FEDERAL","403","734 ","","160101","12 .365.6221.3238.0004","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22101","SECRETARIA DE ESTADO DE INFRAESTRUTURA E SERVIÇOS ","AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-MELHORIA DE ILUMINAÇÃO PÚBLICA EM CEILÂNDIA-REGIÃO IX - CEILÂNDIA","401","734 ","","190101","25 .451.6210.1836.0002","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22101","SECRETARIA DE ESTADO DE INFRAESTRUTURA E SERVIÇOS ","AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-MELHORIA E AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA NA FEIRA DA TORRE DE TV-DISTRITO FEDERAL                                                                                                                 ","5029","734 ","","190101","25 .752.6210.1836.0049","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","59104","ADMINISTRAÇÃO REGIONAL DO GAMA - RA II            ","APOIO À AGRICULTURA FAMILIAR- APOIO AO ARTESANATO E AGRICULTURA FAMILIAR NO FINANCIAMENTO DE ESTRUTRA MÓVEIS PARA EXPOSIÇÃO-REGIÃO II - GAMA- GAMA                                                                                                        ","394","734 ","","190104","11 .334.6207.2889.0002","339039","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","59104","ADMINISTRAÇÃO REGIONAL DO GAMA - RA II            ","CONSTRUÇÃO DE ESTACIONAMENTOS-PÚBLICO DA IGREJA NOSSA SENHORA APARECIDA NO SETOR OESTE- GAMA                                                                                                                                                              ","3034","734 ","","190104","15 .451.6216.5071.0006","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE QUADRAS DE ESPORTES- IMPLANTAÇÃO DE COBERTURA E REFORMA DE QUADRAS DE ESPORTE-DISTRITO FEDERAL                                                                                                                                                 ","374","734 ","","190113","15 .451.6206.3440.0004","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE INFRAESTRUTURA E URBANISMO - SAMAMBAIA- SAMAMBAIA                                                                                                                                                   ","385","734 ","","190114","15 .451.6210.1110.0006","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-- SAMAMBAIA                                                                                                                                                                                                    ","1029","734 ","","190114","25 .752.6210.1836.0028","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE MUSEU- DA EDUCAÇÃO DO DISTRITO FEDERAL-DISTRITO FEDERAL                                                                                                                                                                                     ","371","734 ","","190201","12 .122.6221.1161.0001","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE QUADRAS DE ESPORTES-COBERTURA DA QUADRA POLIESPORTIVA DA ESCOLA CLASSE 05 DE BRAZLÂNDIA-REGIÃO IV - BRAZLÂNDIA","367","734 ","","190201","12 .361.6206.3440.0012","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE ESTACIONAMENTOS-CONSTRUÇÃO DE ESTACIONAMENTO INTERNO NO CEF 02 DE BRAZLÂNDIA-REGIÃO IV - BRAZLÂNDIA","375","734 ","","190201","12 .361.6216.5071.0002","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE QUADRAS DE ESPORTES-CONSTRUÇÃO DE CAMPO DE FUTEBOL COM GRAMA SINTÉTICA NO CEF 02 DE BRAZLÂNDIA-REGIÃO IV - BRAZLÂNDIA","410","734 ","","190201","12 .361.6221.1745.0012","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS GERAIS--DISTRITO FEDERAL                                                                                                                                                                                           ","4030","734 ","","190201","15 .122.6001.8517.0020","449052","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE QUADRAS DE ESPORTES- IMPLANTAÇÃO DE COBERTURA E REFORMA DE QUADRAS DE ESPORTE-DISTRITO FEDERAL                                                                                                                                                 ","374","734 ","","190201","15 .451.6206.3440.0004","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE PRAÇAS PÚBLICAS E PARQUES-CONSTRUÇÃO DA PRAÇA DO FERROCK NO SETOR P NORTE- CEILÂNDIA                                                                                                                                                           ","1026","734 ","","190201","15 .451.6206.3902.0019","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- NO CAUB I - RIACHO FUNDO II- RIACHO FUNDO II                                                                                                                                                                            ","577","734 ","","190201","15 .451.6208.1110.0001","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- NO RESIDENCIAL PARAÍSO - GAMA- GAMA                                                                                                                                                                                     ","372","734 ","","190201","15 .451.6208.1110.0070","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- EM TAGUATINGA/DF- TAGUATINGA                                                                                                                                                                                            ","373","734 ","","190201","15 .451.6208.1110.0071","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- NO CRUZEIRO- CRUZEIRO                                                                                                                                                                                                   ","382","734 ","","190201","15 .451.6210.1110.0072","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- EM SANTA MARIA- SANTA MARIA                                                                                                                                                                                             ","389","734 ","","190201","15 .451.6210.1110.0073","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO- EM ÁGUAS CLARAS- ÁGUAS CLARAS                                                                                                                                                                                           ","398","734 ","","190201","15 .451.6210.1110.0074","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE PASSARELA- DE PEDESTRE EM FRENTE AO CAMPUS DA UNB EM CEILÂNDIA- CEILÂNDIA                                                                                                                                                                   ","399","734 ","","190201","15 .451.6216.1347.0001","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE ESTACIONAMENTOS- NA ESTAÇÃO DO METRÔ NA CNN 02 EM CEILÂNDIA- CEILÂNDIA                                                                                                                                                                      ","383","734 ","","190201","15 .451.6216.5071.0003","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE ESTACIONAMENTOS- NA QUADRA 04 - ÁREA ESPECIAL 3 EM SOBRADINHO- SOBRADINHO                                                                                                                                                                   ","393","734 ","","190201","15 .451.6216.5071.0004","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE CENTRO COMUNITÁRIO- NO CONDOMÍNIO PORTO RICO EM SANTA MARIA- SANTA MARIA                                                                                                                                                                    ","387","734 ","","190201","15 .451.6228.3246.0002","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE CENTRO DE CONVIVÊNCIA DE IDOSOS-CONSTRUÇÃO DE CENTRO DE CONVIVÊNCIA DE IDOSOS EM CEILÂNDIA- CEILÂNDIA                                                                                                                                       ","1023","734 ","","190201","15 .451.6228.7294.0003","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE FEIRAS-REFORMA DO SHOPPING POPULAR DO GAMA-REGIÃO II - GAMA","366","734 ","","190201","23 .451.6207.3247.0004","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE FEIRAS- DO DISTRITO FEDERAL-DISTRITO FEDERAL                                                                                                                                                                                                   ","411","734 ","","190201","23 .451.6207.3247.0006","449051","430000"
"CHICO VIGILANTE","2017/02/06 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE FEIRAS- DO SETOR P NORTE E DA NOVA GUARIROBA EM CEILÂNDIA- CEILÂNDIA                                                                                                                                                                           ","368","734 ","","190201","23 .451.6207.3247.0007","449051","430000"
